Latitude,Longitude,Tsurfmx,Tsurfmn,Tsurfmx_Watt/m2,Tsurfmn_Watt/m2,AVG_Watt/m2,Lat_AVG_Tsurfmx_Watt/m2,Lat_AVG_Tsurfmn_Watt/m2,Lat_AVG_Watt/m2,Lat_Max_Tsurfmx_Watt/m2,Lat_Min_Tsurfmn_Watt/m2
-90.0,360.0,144.226,144.27,24.535105584458076,24.565059649943205,24.55008261720064,24.535105584458055,24.56505964994315,24.550082617200598,24.535105584458076,24.565059649943205
-85.0,360.0,148.582,149.588,27.636210725011335,28.392309371403087,28.014260048207213,32.71533939508312,38.71906565535248,35.717202525217765,34.9895010890401,28.392309371403087
-80.0,360.0,159.562,164.703,36.75628251179391,41.72724721480203,39.24176486329797,33.494273951955535,49.71148716513829,41.60288055854692,36.92704365491417,41.72724721480203
-75.0,360.0,155.755,180.084,33.371957701698534,59.63678328091471,46.504370491306624,31.906811988602254,65.74694602886323,48.82687900873273,35.38275917977342,56.696422747490566
-70.0,360.0,157.806,194.2,35.164766866903776,80.6511562787805,57.90796157284214,33.1518862161571,87.01280135846189,60.08234378730948,36.180121461190225,78.65655431571076
-65.0,360.0,166.807,208.316,43.90063303548897,106.78351369557615,75.34207336553256,39.309906055270545,115.76183087085639,77.53586846306352,43.90063303548897,106.2861342136597
-60.0,360.0,173.854,221.784,51.80270583794981,137.19381842310705,94.49826213052843,47.231787735536955,145.8650334976044,96.5484106165706,52.12406290765032,136.10341275732407
-55.0,360.0,176.689,232.43,55.26520012620234,165.49406542939803,110.37963277780018,53.55820122242183,173.42002621616268,113.48911371929229,63.40821928612297,157.63496196475967
-50.0,360.0,177.675,243.261,56.50917830798178,198.56543279882155,127.53730555340167,56.85857280403537,204.3723775641211,130.6154751840783,68.82616861628861,187.2257377123561
-45.0,360.0,177.02,253.277,55.68048910489884,233.34403833254822,144.51226371872355,57.191917160143326,235.2953296631785,146.24362341166096,70.36099213456276,220.69307271585345
-40.0,360.0,177.537,260.496,56.3338202452081,261.1066493323996,158.72023478880385,58.02480903368688,264.4053315657846,161.21507029973588,71.1137710820222,237.96231179293687
-35.0,360.0,179.005,267.42,58.22028722121012,289.9941478015607,174.10721751138541,58.91751605623641,293.9593431976457,176.43842962694094,71.37866531180714,252.92913003226542
-30.0,360.0,178.739,275.305,57.87499829302584,325.7392497713722,191.80712403219903,61.71634119759325,318.2185213685998,189.96743128309657,73.5478016674899,288.99777273574693
-25.0,360.0,181.24,277.763,61.1828791073354,337.52913970622694,199.35600940678117,64.13782378764455,331.83626764484046,197.98704571624262,74.24319789155679,300.67919958655875
-20.0,360.0,182.02,280.667,62.24294543845594,351.8674601138813,207.0552027761686,62.49452448927713,347.6567497349718,205.0756371121244,74.86179161823864,311.49662475839875
-15.0,360.0,181.009,284.938,60.87155163725818,373.77924495232793,217.32539829479305,59.07210648630358,366.4320100404693,212.75205826338632,83.16687211407445,321.67871711165
-10.0,360.0,182.938,288.261,63.508141388653506,391.52297450588935,227.51555794727142,57.32682913669536,376.98053414319173,217.15368163994353,81.82029713715256,340.5039349907907
-5.0,360.0,184.965,288.203,66.37001611734486,391.2079616551335,228.78898888623917,55.30778747027486,377.7118363620286,216.50981191615165,78.33425352084848,342.9274060684205
0.0,360.0,187.939,282.178,70.74265298604804,359.5061298208063,215.12439140342715,53.72073410390267,372.78461088870995,213.2526724963063,81.06225562676254,332.26690917242337
5.0,360.0,189.224,279.21,72.6973484878579,344.61769270244326,208.65752059515057,53.89528603734058,364.40892348631695,209.1521047618287,84.14863733313913,297.7881865083158
10.0,360.0,182.319,278.611,62.65293440279346,341.66990907022864,202.16142173651104,54.29749822643342,356.32211803515236,205.30980813079296,83.07511490607683,290.4846139579888
15.0,360.0,175.061,281.098,53.25633989144887,354.0337933300666,203.64506661075774,52.403191219186944,348.7400653043586,200.5716282617729,76.02153607638049,298.3239488503748
20.0,360.0,168.964,280.34,46.21579468484091,350.2305062434959,198.22315046416838,49.801165714575404,337.8467204863425,193.82394310045888,78.00808352193015,292.5836809316487
25.0,360.0,168.045,276.162,45.21849211456999,329.81421735776985,187.51635473616992,47.41145893131027,323.69068204492964,185.5510704881198,75.01271547024164,280.26810041515944
30.0,360.0,171.313,269.556,48.839923790123756,299.37098653235336,174.10545516123855,45.29467270180026,303.93123685526564,174.61295477853295,71.05785942851692,0.0
35.0,360.0,172.477,261.087,50.1809009444011,263.4842670180511,156.83258398122612,45.655523782227846,277.8654907537521,161.76050726798996,69.7020155378381,236.45131742365467
40.0,360.0,177.892,252.601,56.785750134814556,230.86279960919302,143.8242748720038,48.98323521631842,244.1225863606276,146.5529107884729,67.61446409424408,208.23184237349952
45.0,360.0,180.678,245.082,60.42752322980494,204.57820271254025,132.5028629711726,53.27017316111558,206.3601064456117,129.81513980336373,67.53008831761603,178.2503715406604
50.0,360.0,177.778,230.704,56.64032807196401,160.63278674966026,108.63655741081213,53.570835599471586,165.19887469524917,109.3848551473605,61.74246929079584,138.15888296464615
55.0,360.0,170.102,202.949,47.4735135727963,96.19696245288105,71.83523801283867,49.88150734034322,121.33713746173576,85.60932240103949,53.93983171026842,93.94188252671961
60.0,360.0,162.073,181.482,39.125182841384834,61.51031097988161,50.31774691063322,42.18797926289669,76.28267162391292,59.23532544340479,48.1604182093163,0.0
65.0,360.0,152.582,157.114,30.734553531058577,34.55200374526313,32.64327863816085,32.854829232417075,41.40851663850307,37.13167293546006,38.3127422861633,29.40391718939394
70.0,360.0,150.451,150.568,29.053202470142764,29.143682212146576,29.09844234114467,29.144891130712633,29.74258311110504,29.443737120908825,30.903295105378838,28.700276457905133
75.0,360.0,150.392,150.482,29.007655922788572,29.077155190407595,29.042405556598084,28.958539466849466,29.03649240137648,28.997515934112982,29.250673357945097,28.749292236180885
80.0,360.0,149.673,149.743,28.45689754880065,28.510170502467936,28.48353402563429,28.76585493395059,28.825202794315032,28.795528864132823,29.11581981529396,28.442450638314444
85.0,360.0,149.089,149.128,28.015353250599034,28.044678756003425,28.030016003301228,28.026660794414127,28.063285069894697,28.04497293215443,28.32252613461351,27.730073896954156
90.0,360.0,147.954,147.972,27.171933300256207,27.185158601664455,27.17854595096033,27.171933300256143,27.185158601664515,27.178545950960256,27.171933300256207,27.185158601664455
