lat,lon,tsurfmn
-90.0,0.0,144.517
-90.0,2.5,144.517
-90.0,5.0,144.517
-90.0,7.5,144.517
-90.0,10.0,144.517
-90.0,12.5,144.517
-90.0,15.0,144.517
-90.0,17.5,144.517
-90.0,20.0,144.517
-90.0,22.5,144.517
-90.0,25.0,144.517
-90.0,27.5,144.517
-90.0,30.0,144.517
-90.0,32.5,144.517
-90.0,35.0,144.517
-90.0,37.5,144.517
-90.0,40.0,144.517
-90.0,42.5,144.517
-90.0,45.0,144.517
-90.0,47.5,144.517
-90.0,50.0,144.517
-90.0,52.5,144.517
-90.0,55.0,144.517
-90.0,57.5,144.517
-90.0,60.0,144.517
-90.0,62.5,144.517
-90.0,65.0,144.517
-90.0,67.5,144.517
-90.0,70.0,144.517
-90.0,72.5,144.517
-90.0,75.0,144.517
-90.0,77.5,144.517
-90.0,80.0,144.517
-90.0,82.5,144.517
-90.0,85.0,144.517
-90.0,87.5,144.517
-90.0,90.0,144.517
-90.0,92.5,144.517
-90.0,95.0,144.517
-90.0,97.5,144.517
-90.0,100.0,144.517
-90.0,102.5,144.517
-90.0,105.0,144.517
-90.0,107.5,144.517
-90.0,110.0,144.517
-90.0,112.5,144.517
-90.0,115.0,144.517
-90.0,117.5,144.517
-90.0,120.0,144.517
-90.0,122.5,144.517
-90.0,125.0,144.517
-90.0,127.5,144.517
-90.0,130.0,144.517
-90.0,132.5,144.517
-90.0,135.0,144.517
-90.0,137.5,144.517
-90.0,140.0,144.517
-90.0,142.5,144.517
-90.0,145.0,144.517
-90.0,147.5,144.517
-90.0,150.0,144.517
-90.0,152.5,144.517
-90.0,155.0,144.517
-90.0,157.5,144.517
-90.0,160.0,144.517
-90.0,162.5,144.517
-90.0,165.0,144.517
-90.0,167.5,144.517
-90.0,170.0,144.517
-90.0,172.5,144.517
-90.0,175.0,144.517
-90.0,177.5,144.517
-90.0,180.0,144.517
-90.0,182.5,144.517
-90.0,185.0,144.517
-90.0,187.5,144.517
-90.0,190.0,144.517
-90.0,192.5,144.517
-90.0,195.0,144.517
-90.0,197.5,144.517
-90.0,200.0,144.517
-90.0,202.5,144.517
-90.0,205.0,144.517
-90.0,207.5,144.517
-90.0,210.0,144.517
-90.0,212.5,144.517
-90.0,215.0,144.517
-90.0,217.5,144.517
-90.0,220.0,144.517
-90.0,222.5,144.517
-90.0,225.0,144.517
-90.0,227.5,144.517
-90.0,230.0,144.517
-90.0,232.5,144.517
-90.0,235.0,144.517
-90.0,237.5,144.517
-90.0,240.0,144.517
-90.0,242.5,144.517
-90.0,245.0,144.517
-90.0,247.5,144.517
-90.0,250.0,144.517
-90.0,252.5,144.517
-90.0,255.0,144.517
-90.0,257.5,144.517
-90.0,260.0,144.517
-90.0,262.5,144.517
-90.0,265.0,144.517
-90.0,267.5,144.517
-90.0,270.0,144.517
-90.0,272.5,144.517
-90.0,275.0,144.517
-90.0,277.5,144.517
-90.0,280.0,144.517
-90.0,282.5,144.517
-90.0,285.0,144.517
-90.0,287.5,144.517
-90.0,290.0,144.517
-90.0,292.5,144.517
-90.0,295.0,144.517
-90.0,297.5,144.517
-90.0,300.0,144.517
-90.0,302.5,144.517
-90.0,305.0,144.517
-90.0,307.5,144.517
-90.0,310.0,144.517
-90.0,312.5,144.517
-90.0,315.0,144.517
-90.0,317.5,144.517
-90.0,320.0,144.517
-90.0,322.5,144.517
-90.0,325.0,144.517
-90.0,327.5,144.517
-90.0,330.0,144.517
-90.0,332.5,144.517
-90.0,335.0,144.517
-90.0,337.5,144.517
-90.0,340.0,144.517
-90.0,342.5,144.517
-90.0,345.0,144.517
-90.0,347.5,144.517
-90.0,350.0,144.517
-90.0,352.5,144.517
-90.0,355.0,144.517
-90.0,357.5,144.517
-90.0,360.0,144.517
-85.0,0.0,144.564
-85.0,2.5,144.532
-85.0,5.0,144.501
-85.0,7.5,144.508
-85.0,10.0,144.527
-85.0,12.5,144.547
-85.0,15.0,144.566
-85.0,17.5,144.59
-85.0,20.0,144.626
-85.0,22.5,144.662
-85.0,25.0,144.721
-85.0,27.5,144.78
-85.0,30.0,144.845
-85.0,32.5,144.912
-85.0,35.0,144.953
-85.0,37.5,144.969
-85.0,40.0,144.984
-85.0,42.5,145.002
-85.0,45.0,145.02
-85.0,47.5,145.039
-85.0,50.0,145.058
-85.0,52.5,145.06
-85.0,55.0,145.057
-85.0,57.5,145.058
-85.0,60.0,145.062
-85.0,62.5,145.067
-85.0,65.0,145.073
-85.0,67.5,145.079
-85.0,70.0,145.078
-85.0,72.5,145.077
-85.0,75.0,145.084
-85.0,77.5,145.093
-85.0,80.0,145.109
-85.0,82.5,145.131
-85.0,85.0,145.168
-85.0,87.5,145.252
-85.0,90.0,145.335
-85.0,92.5,145.547
-85.0,95.0,145.759
-85.0,97.5,145.7
-85.0,100.0,145.552
-85.0,102.5,145.417
-85.0,105.0,145.295
-85.0,107.5,145.191
-85.0,110.0,145.141
-85.0,112.5,145.09
-85.0,115.0,145.067
-85.0,117.5,145.043
-85.0,120.0,145.044
-85.0,122.5,145.053
-85.0,125.0,145.07
-85.0,127.5,145.095
-85.0,130.0,145.124
-85.0,132.5,145.164
-85.0,135.0,145.204
-85.0,137.5,145.222
-85.0,140.0,145.24
-85.0,142.5,145.228
-85.0,145.0,145.206
-85.0,147.5,145.194
-85.0,150.0,145.191
-85.0,152.5,145.193
-85.0,155.0,145.212
-85.0,157.5,145.231
-85.0,160.0,145.209
-85.0,162.5,145.186
-85.0,165.0,145.166
-85.0,167.5,145.146
-85.0,170.0,145.132
-85.0,172.5,145.123
-85.0,175.0,145.12
-85.0,177.5,145.135
-85.0,180.0,145.15
-85.0,182.5,145.158
-85.0,185.0,145.167
-85.0,187.5,145.182
-85.0,190.0,145.199
-85.0,192.5,145.2
-85.0,195.0,145.185
-85.0,197.5,145.174
-85.0,200.0,145.174
-85.0,202.5,145.174
-85.0,205.0,145.177
-85.0,207.5,145.181
-85.0,210.0,145.177
-85.0,212.5,145.171
-85.0,215.0,145.169
-85.0,217.5,145.171
-85.0,220.0,145.18
-85.0,222.5,145.21
-85.0,225.0,145.239
-85.0,227.5,145.26
-85.0,230.0,145.281
-85.0,232.5,145.299
-85.0,235.0,145.316
-85.0,237.5,145.356
-85.0,240.0,145.419
-85.0,242.5,145.468
-85.0,245.0,145.473
-85.0,247.5,145.477
-85.0,250.0,145.451
-85.0,252.5,145.426
-85.0,255.0,145.412
-85.0,257.5,145.402
-85.0,260.0,145.395
-85.0,262.5,145.39
-85.0,265.0,145.381
-85.0,267.5,145.362
-85.0,270.0,145.343
-85.0,272.5,145.35
-85.0,275.0,145.358
-85.0,277.5,145.345
-85.0,280.0,145.326
-85.0,282.5,145.317
-85.0,285.0,145.317
-85.0,287.5,145.309
-85.0,290.0,145.277
-85.0,292.5,145.243
-85.0,295.0,145.247
-85.0,297.5,145.251
-85.0,300.0,145.199
-85.0,302.5,145.128
-85.0,305.0,145.053
