lat,lon,min_temp
-90.0,0.0,141.877
-90.0,2.5,141.877
-90.0,5.0,141.877
-90.0,7.5,141.877
-90.0,10.0,141.877
-90.0,12.5,141.877
-90.0,15.0,141.877
-90.0,17.5,141.877
-90.0,20.0,141.877
-90.0,22.5,141.877
-90.0,25.0,141.877
-90.0,27.5,141.877
-90.0,30.0,141.877
-90.0,32.5,141.877
-90.0,35.0,141.877
-90.0,37.5,141.877
-90.0,40.0,141.877
-90.0,42.5,141.877
-90.0,45.0,141.877
-90.0,47.5,141.877
-90.0,50.0,141.877
-90.0,52.5,141.877
-90.0,55.0,141.877
-90.0,57.5,141.877
-90.0,60.0,141.877
-90.0,62.5,141.877
-90.0,65.0,141.877
-90.0,67.5,141.877
-90.0,70.0,141.877
-90.0,72.5,141.877
-90.0,75.0,141.877
-90.0,77.5,141.877
-90.0,80.0,141.877
-90.0,82.5,141.877
-90.0,85.0,141.877
-90.0,87.5,141.877
-90.0,90.0,141.877
-90.0,92.5,141.877
-90.0,95.0,141.877
-90.0,97.5,141.877
-90.0,100.0,141.877
-90.0,102.5,141.877
-90.0,105.0,141.877
-90.0,107.5,141.877
-90.0,110.0,141.877
-90.0,112.5,141.877
-90.0,115.0,141.877
-90.0,117.5,141.877
-90.0,120.0,141.877
-90.0,122.5,141.877
-90.0,125.0,141.877
-90.0,127.5,141.877
-90.0,130.0,141.877
-90.0,132.5,141.877
-90.0,135.0,141.877
-90.0,137.5,141.877
-90.0,140.0,141.877
-90.0,142.5,141.877
-90.0,145.0,141.877
-90.0,147.5,141.877
-90.0,150.0,141.877
-90.0,152.5,141.877
-90.0,155.0,141.877
-90.0,157.5,141.877
-90.0,160.0,141.877
-90.0,162.5,141.877
-90.0,165.0,141.877
-90.0,167.5,141.877
-90.0,170.0,141.877
-90.0,172.5,141.877
-90.0,175.0,141.877
-90.0,177.5,141.877
-90.0,180.0,141.877
-90.0,182.5,141.877
-90.0,185.0,141.877
-90.0,187.5,141.877
-90.0,190.0,141.877
-90.0,192.5,141.877
-90.0,195.0,141.877
-90.0,197.5,141.877
-90.0,200.0,141.877
-90.0,202.5,141.877
-90.0,205.0,141.877
-90.0,207.5,141.877
-90.0,210.0,141.877
-90.0,212.5,141.877
-90.0,215.0,141.877
-90.0,217.5,141.877
-90.0,220.0,141.877
-90.0,222.5,141.877
-90.0,225.0,141.877
-90.0,227.5,141.877
-90.0,230.0,141.877
-90.0,232.5,141.877
-90.0,235.0,141.877
-90.0,237.5,141.877
-90.0,240.0,141.877
-90.0,242.5,141.877
-90.0,245.0,141.877
-90.0,247.5,141.877
-90.0,250.0,141.877
-90.0,252.5,141.877
-90.0,255.0,141.877
-90.0,257.5,141.877
-90.0,260.0,141.877
-90.0,262.5,141.877
-90.0,265.0,141.877
-90.0,267.5,141.877
-90.0,270.0,141.877
-90.0,272.5,141.877
-90.0,275.0,141.877
-90.0,277.5,141.877
-90.0,280.0,141.877
-90.0,282.5,141.877
-90.0,285.0,141.877
-90.0,287.5,141.877
-90.0,290.0,141.877
-90.0,292.5,141.877
-90.0,295.0,141.877
-90.0,297.5,141.877
-90.0,300.0,141.877
-90.0,302.5,141.877
-90.0,305.0,141.877
-90.0,307.5,141.877
-90.0,310.0,141.877
-90.0,312.5,141.877
-90.0,315.0,141.877
-90.0,317.5,141.877
-90.0,320.0,141.877
-90.0,322.5,141.877
-90.0,325.0,141.877
-90.0,327.5,141.877
-90.0,330.0,141.877
-90.0,332.5,141.877
-90.0,335.0,141.877
-90.0,337.5,141.877
-90.0,340.0,141.877
-90.0,342.5,141.877
-90.0,345.0,141.877
-90.0,347.5,141.877
-90.0,350.0,141.877
-90.0,352.5,141.877
-90.0,355.0,141.877
-90.0,357.5,141.877
-90.0,360.0,141.877
-85.0,0.0,141.682
-85.0,2.5,141.67
-85.0,5.0,141.659
-85.0,7.5,141.69
-85.0,10.0,141.734
-85.0,12.5,141.778
-85.0,15.0,141.823
-85.0,17.5,141.873
-85.0,20.0,141.934
-85.0,22.5,141.993
-85.0,25.0,142.064
-85.0,27.5,142.129
-85.0,30.0,142.189
-85.0,32.5,142.245
-85.0,35.0,142.275
-85.0,37.5,142.283
-85.0,40.0,142.29
-85.0,42.5,142.291
-85.0,45.0,142.287
-85.0,47.5,142.306
-85.0,50.0,142.323
-85.0,52.5,142.338
-85.0,55.0,142.355
-85.0,57.5,142.377
-85.0,60.0,142.405
-85.0,62.5,142.427
-85.0,65.0,142.427
-85.0,67.5,142.428
-85.0,70.0,142.4
-85.0,72.5,142.369
-85.0,75.0,142.354
-85.0,77.5,142.345
-85.0,80.0,142.339
-85.0,82.5,142.336
-85.0,85.0,142.348
-85.0,87.5,142.404
-85.0,90.0,142.446
-85.0,92.5,142.585
-85.0,95.0,142.704
-85.0,97.5,142.733
-85.0,100.0,142.734
-85.0,102.5,142.718
-85.0,105.0,142.688
-85.0,107.5,142.664
-85.0,110.0,142.656
-85.0,112.5,142.648
-85.0,115.0,142.642
-85.0,117.5,142.635
-85.0,120.0,142.647
-85.0,122.5,142.664
-85.0,125.0,142.689
-85.0,127.5,142.724
-85.0,130.0,142.756
-85.0,132.5,142.784
-85.0,135.0,142.811
-85.0,137.5,142.82
-85.0,140.0,142.83
-85.0,142.5,142.814
-85.0,145.0,142.787
-85.0,147.5,142.771
-85.0,150.0,142.766
-85.0,152.5,142.763
-85.0,155.0,142.776
-85.0,157.5,142.789
-85.0,160.0,142.767
-85.0,162.5,142.745
-85.0,165.0,142.722
-85.0,167.5,142.698
-85.0,170.0,142.684
-85.0,172.5,142.678
-85.0,175.0,142.675
-85.0,177.5,142.679
-85.0,180.0,142.683
-85.0,182.5,142.689
-85.0,185.0,142.695
-85.0,187.5,142.713
-85.0,190.0,142.733
-85.0,192.5,142.742
-85.0,195.0,142.743
-85.0,197.5,142.742
-85.0,200.0,142.736
-85.0,202.5,142.73
-85.0,205.0,142.734
-85.0,207.5,142.739
-85.0,210.0,142.731
-85.0,212.5,142.72
-85.0,215.0,142.714
-85.0,217.5,142.712
-85.0,220.0,142.709
-85.0,222.5,142.704
-85.0,225.0,142.699
-85.0,227.5,142.68
-85.0,230.0,142.66
-85.0,232.5,142.629
-85.0,235.0,142.594
-85.0,237.5,142.585
-85.0,240.0,142.6
-85.0,242.5,142.61
-85.0,245.0,142.603
-85.0,247.5,142.57
-85.0,250.0,142.535
-85.0,252.5,142.501
-85.0,255.0,142.459
-85.0,257.5,142.414
-85.0,260.0,142.37
-85.0,262.5,142.328
-85.0,265.0,142.273
-85.0,267.5,142.178
-85.0,270.0,142.083
-85.0,272.5,142.038
-85.0,275.0,141.993
-85.0,277.5,141.965
-85.0,280.0,141.941
-85.0,282.5,141.93
-85.0,285.0,141.93
-85.0,287.5,141.923
-85.0,290.0,141.886
-85.0,292.5,141.848
-85.0,295.0,141.861
-85.0,297.5,141.874
-85.0,300.0,141.844
-85.0,302.5,141.8
-85.0,305.0,141.755
-85.0,307.5,141.71
-85.0,310.0,141.692
-85.0,312.5,141.755
-85.0,315.0,141.817
-85.0,317.5,141.801
-85.0,320.0,141.784
-85.0,322.5,141.775
-85.0,325.0,141.765
-85.0,327.5,141.743
-85.0,330.0,141.711
-85.0,332.5,141.686
-85.0,335.0,141.684
-85.0,337.5,141.682
-85.0,340.0,141.667
-85.0,342.5,141.652
-85.0,345.0,141.643
-85.0,347.5,141.636
-85.0,350.0,141.625
-85.0,352.5,141.61
-85.0,355.0,141.609
-85.0,357.5,141.65
-85.0,360.0,141.682
-80.0,0.0,142.732
-80.0,2.5,142.704
-80.0,5.0,142.677
-80.0,7.5,142.575
-80.0,10.0,142.449
-80.0,12.5,142.425
-80.0,15.0,142.504
-80.0,17.5,142.589
-80.0,20.0,142.69
-80.0,22.5,142.792
-80.0,25.0,142.76
-80.0,27.5,142.724
-80.0,30.0,142.72
-80.0,32.5,142.721
